Characteristic,CLIF Consortium (Combined),Emory University,Johns Hopkins Health System,Northwestern University,Oregon Health & Science University
Hospitals,39,4,5,8,2
N,111440,15124,18242,17150,8559
"Age (years), mean (SD)",60.7 (17.1),61.3 (16.4),60.8 (17.4),63.1 (17.1),60.3 (17.4)
Female n (%),49358 (44.3%),7100 (46.9%),8315 (45.6%),7425 (43.3%),3517 (41.1%)
Race: Asian,4062 (3.6%),521 (3.4%),790 (4.3%),593 (3.5%),258 (3.0%)
Race: Black,31063 (27.9%),6707 (44.3%),5643 (30.9%),2199 (12.8%),214 (2.5%)
Race: White,66331 (59.5%),6953 (46.0%),10255 (56.2%),12723 (74.2%),6960 (81.3%)
Race: Others,9984 (8.9%),943 (6.2%),1554 (8.5%),1635 (9.5%),1127 (13.2%)
Ethnicity: Hispanic or Latino,7511 (6.7%),577 (3.8%),1088 (6.0%),1753 (10.2%),657 (7.7%)
"Hospital mortality, n (%)",10721 (9.6%),1307 (8.6%),1905 (10.4%),1502 (8.8%),677 (7.9%)
"Mechanical Ventilation, n (%)",42442 (39.09%),6031 (39.9%),6804 (37.3%),5080 (29.6%),3231 (37.7%)
Vent Mode: Assist Control-Volume Control,25711 (60.58%),2501 (41.57%),3942 (57.95%),4284 (84.33%),2623 (81.18%)
Vent Mode: Pressure-Regulated Volume Control,6783 (15.98%),1004 (16.65%),1335 (19.62%),174 (3.43%),60 (1.86%)
Vent Mode: Pressure Control,1188 (2.80%),124 (2.06%),106 (1.56%),151 (2.97%),89 (2.75%)
Vent Mode: Pressure Support/CPAP,3057 (7.20%),466 (7.73%),277 (4.07%),161 (3.17%),260 (8.05%)
Vent Mode: SIMV,3486 (8.21%),668 (11.08%),1086 (15.96%),196 (3.86%),0 (0%)
Vent Mode: Other,581 (1.37%),31 (0.51%),57 (0.84%),5 (0.1%),185 (5.73%)
Vent Mode: No mode documented,1636 (3.85%),1237 (20.51%),1 (0.0%),109 (2.15%),14 (0.43%)
Vent Settings: Fio2 Median [IQR],"0.4 [0.37, 0.60]","0.4 (0.4, 0.6)","0.4 (0.4, 0.6)","0.4 (0.4, 0.6)","0.35 (0.28, 0.5)"
Vent Settings: Peep Median [IQR],"5.0 [5.4, 8.03]","6.0 (6.0, 10.0)","5.0 (5.0, 8.0)","5.0 (5.0, 8.0)","5.0 (5.0, 7.0)"
